PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Player
1627780,2024-25,00,1610612744,GSW,32.0,52,10,739.0,137,240,0.571,21,74,0.284,27,37,0.73,45,106,151,68,38,15,32,91,322,Gary Payton II
1630228,2024-25,00,1610612744,GSW,22.0,32,10,832.0,194,423,0.459,40,116,0.345,108,169,0.639,44,115,159,70,29,18,50,61,536,Jonathan Kuminga
1641764,2024-25,00,1610612744,GSW,22.0,50,19,1270.0,191,447,0.427,68,213,0.319,56,74,0.757,52,191,243,171,53,12,54,74,506,Brandin Podziemski
1630541,2024-25,00,1610612744,GSW,22.0,57,17,1198.0,189,425,0.445,97,253,0.383,81,104,0.779,37,103,140,65,34,22,38,84,556,Moses Moody
1626172,2024-25,00,1610612744,GSW,29.0,59,6,926.0,122,241,0.506,0,3,0.0,45,80,0.563,160,227,387,102,40,27,35,130,289,Kevon Looney
1627741,2024-25,00,1610612744,GSW,32.0,65,22,1515.0,271,652,0.416,165,450,0.367,40,50,0.8,39,172,211,112,57,21,80,109,747,Buddy Hield
202710,2024-25,00,1610612748,MIA,35.0,25,25,766.0,142,263,0.54,13,36,0.361,129,161,0.801,55,76,131,120,27,10,30,23,426,Jimmy Butler III
1630611,2024-25,00,1610612744,GSW,22.0,40,1,549.0,62,133,0.466,26,75,0.347,24,33,0.727,49,73,122,57,18,8,30,72,174,Gui Santos
1642366,2024-25,00,1610612744,GSW,24.0,27,10,435.0,83,182,0.456,45,108,0.417,14,17,0.824,27,79,106,41,11,13,21,56,225,Quinten Post
203110,2024-25,00,1610612744,GSW,35.0,51,49,1470.0,158,370,0.427,56,169,0.331,82,121,0.678,57,257,314,300,70,50,124,156,454,Draymond Green
201939,2024-25,00,1610612744,GSW,36.0,56,56,1803.0,452,1008,0.448,251,630,0.398,218,233,0.936,32,214,246,344,60,23,162,74,1373,Stephen Curry
1631218,2024-25,00,1610612744,GSW,25.0,52,37,914.0,161,281,0.573,0,1,0.0,52,88,0.591,110,179,289,98,22,37,41,68,374,Trayce Jackson-Davis
1642050,2024-25,00,1610612744,GSW,28.0,5,0,43.0,6,15,0.4,2,9,0.222,2,4,0.5,0,8,8,3,3,0,1,4,16,Jackson Rowe
1630311,2024-25,00,1610612744,GSW,28.0,30,0,205.0,33,84,0.393,2,17,0.118,11,15,0.733,15,27,42,38,11,3,15,17,79,Pat Spencer
